Id	Date
1000	a8272016
1001	8282016
1002	08292016
1000	
1001

1002	08262016
1003	08272016
1004	08282016
1005	08012016
1005	08022016
1005	08032016
1002	08292016
1003	08302016
1004	08312016
1005	09012016
1006	09022016
1007	09032016
1008	09042016
1009	09052016
1010	09062016
1011	09072016
1012	09082016
1013	09092016
1014	09102016
1015	09112016
1016	09122016
1017	09132016
1018	09142016
1019	09152016
1020	09162016
1021	09172016
1022	09182016
1023	09192016
1024	09202016
1025	09212016
1026	09222016
1027	09232016
1028	09242016
1029	09252016
1030	09262016
1031	09272016
1032	09282016
1033	09292016
1034	09302016
1035	10012016
1036	10022016
1037	10032016
1038	10042016
1039	10052016
1040	10062016
1041	10072016
1042	10082016
1043	10092016
1044	10102016
1045	10112016
1046	10122016
1047	10132016
1048	10142016
1049	10152016
1050	10162016
